"Here you will find the email opens and social views. Remember this will stay the same for all the properties. The info will be from the last 7 days. Sotoday and every Monday , you will inform with the data that was gathered from The previous week, so in this case you will inform from last week (april 6-10)",,,,,
,,,,,
Week ,Emails Opened,Social Views,,Specific Properties Social View,Social Views
April 6 - 10,4920,222,,88 SW 7th Street #1012,312
April 13-17,4618,444,,,
April 20-26,3267,222,,,
April 27 - May 3rd,"19,308",202,,,
May 4th - May 9th,"10,938",255,,,
May 11th-May 16th,8655,272,,,
May 18th - May 23rd,6616,255,,,
May 25th - May 31st,3000,222,,,